book_index,paragraph_index,similarity_score,recommended_book,recommended_text
231,1560,0.479,North Sea Region Climate Change Assessment,"1980â2005: c multi-model-mean in the CMIP5 experiment, d difference between multi-model mean and precipitation analyses from the Global Precipitation Climatology Project (Adler et al. 2003). Note the different scales for the respective mean and bias maps (Flato et al 2013: Figs. 9.2 and 9.4, panels (a) and (b). Abridged caption)"
337,24,0.469,Understanding Society and Natural Resources : Forging New Strands of Integration Across the Social Sciences,"science during environmental crises through two case studies â the Deepwater Horizon oil spill and Hurricane Sandy. Machlis et al. suggest that a research agenda which includes integration efforts needs to be developed for understanding and improving science during crisis. Friedrichs (Chap. 4) makes the case for modified Malthusian theories to ground the study of resource management through science integration. He contends that the main impediment to integration both between various social scientific disciplines and between the social and the physical sciences is a refusal of social scientists to appreciate how deeply the societal sphere is embedded in wider biophysical and social-ecological systems. The chapter begins with a classical Malthusian framework and gradually adds complexity to it, showing how its logical structure is reproduced by simple neo-Malthusian theories that have been developed to account for contemporary global challenges. He demonstrates the potential of more sophisticated neo-Malthusian models and modified Malthusian theories contributing to better science integration. Finucane et al. (Chap. 5) present a conceptual framework for analyzing socialecological models of emerging infectious diseases. Specifically they examine whether risks, and perceptions of risk, associated with highly pathogenic avian influenza (HPAI) caused by the H5N1 virus can be associated with anthropogenic environmental changes produced by urbanization, agricultural change, and natural habitat alterations in the context of Vietnam. To address multi-scale issues within the framework, they draw upon multiple social science theories and methods. Finucane et al. conclude that no single theory or method is sufficient to explain complex phenomena such as emerging infectious disease and the relationships between factors influencing disease outbreaks. Thus, they argue that integrated approaches are the best way to provide an in-depth description and analysis of a complex problem. Esptein et al. (Chap. 6) use the social-ecological systems (SES) framework to study power. They explore the long-standing divide among social scientists regarding power and its effects on the sustainability of social-ecological systems. They argue that there has been little constructive interaction between power-centered and institution-centered approaches. The authors use the SES framework as a tool to confront interdisciplinary puzzles that bridges the gap between social and ecological research. The chapter outlines a systematic approach for integrating diverse conceptualizations of power with the SES framework and then applies this approach to study the relationship between power and social-ecological outcomes. The analysis suggests that the SES framework is a promising tool for social science integration, but also that important questions remain concerning the validity of classifications, measurement, and statistical tests. Manfredo et al. (Chap. 7) conclude Part II by making the case that increased integration of the human individual into dynamic, multi-level models is essential to understanding agency, innovation, and adaptation in social-ecological systems. They use the social-ecological systems framework introduced in the previous chapter as a starting point to examine how conservation science with a focus on the human individual â particularly the tradition of social science research known"
264,64,0.431,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,"arriving on surf beaches come from more than one storm, and if we add two similar sine functions we get a curve with three peaks. Everyone has their own examplesâICMIâs Klein Project is a multilingual collection of contemporary mathematics written for teachers. It would be nice if the pleasure that we get from mathematics imbued the whole of mathematics education, but we know it does not. Why not? How do we manage to take the pleasure out of mathematics? This question underlies all that follows. Let me now return to Ubiratan DâAmbrosio. It is an honour to be following up Ubiratan DâAmbrosioâs thinking, so let me briefly, and with a broad brush-stroke, go over what he was on about. He questioned inequity within mathematics education in a very fundamental way, and gave us some models for working towards creating a fairer world through a mathematics education that really paid attention to social and cultural issues. Many, many people have worked very strongly in this area, and I do not intend to give a summary of the comprehensive work that has been done. In more recent years, Ubiratan DâAmbrosio started to talk about mathematics as a dorsal spine. I want to highlight this metaphor because it is a very nice way of thinking about what has happened. He sees mathematics as the dorsal spine of civilization, the basis of science and technology (DâAmbrosio, 2007, 2015). The trouble is that you may have a spine and skeleton on which an animal may be built, but that animal sometimes turns into a monster rather than a beautiful creature. This has happened within mathematics, and, I would argue, within mathematics education. DâAmbrosio suggests that our essential goals are responsible creativity and ethical citizenship. What he did was highlight the role of mathematics and mathematics education in achieving both of those goals. In other words, he was pointing us to the wider reasons for our work as mathematicians and mathematics educators. But how? How do we do this? What is it I am supposed to do to engender responsible creativity and ethical citizenship? When I walk up the steps and go into my ofï¬ce, what actions will I take? I can presumably do some things in the way I behave, but how do I help to engender appropriate actions in the students that I teach? How are we to build a beautiful creature and not a monster. I think that DâAmbrosioâs essential message is that we should reinstate cultural processes within mathematics education in order to build beautiful creatures. I wish to think about what other things we might do. To develop a basis for making possible actions more explicit I would like to invoke ecological systems theory, which was developed in the context of child development by Urie Bronfenbrenner in 1979, a couple of years after DâAmbrosio introduced the ethnomathematical approach. The two theories have some overlapping principles (Bronfenbrenner, 1992)."
34,1269,0.402,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","13.4.12 Global Status and U.S. Population Trends Manatee causes of mortality are listed as a special case in Figure 13.61. Mortalities from speeding watercraft have been the highest overall source of mortality, but there is some indication that with greater education and enforcement, these are on the wane. Cold stress due to periodic shutdown of power plants used as refuges by manatees has also decreased in recent years, due to concerted human action. Many carcasses are too decomposed for accurate assessments of cause of death, and human causes are probably larger than indicated in Figure 13.61 and Table 13.26."
85,193,0.395,Bayesian Methods in the Search for MH370,in the top right. It exhibits spatial variations very similar to the overall variations in the top left. The likelihood function p(y|xfinal ) is the ratio of these two densities and is shown in the lower left. Note that large values can occur in areas of limited
67,198,0.379,UmelÃ¡ inteligencia,"V takÃ½chto grafoch treba inak chÃ¡paÅ¥ pojem rieÅ¡enia problÃ©mu. Cesta zo zaÄiatoÄnÃ©ho uzla do niektorÃ©ho koncovÃ©ho uzla nemÃ´Å¾e byÅ¥ rieÅ¡enÃ­m, pretoÅ¾e ak je Äo len jeden uzol na tejto ceste takÃ½, Å¾e mÃ¡ nasledovnÃ­ky spojenÃ© s nÃ­m hranou A, tak sÃºÄasÅ¥ou rieÅ¡enia musia byÅ¥ vÅ¡etky takÃ© nasledovnÃ­ky. RieÅ¡enÃ­m v A/ALEBO grafe je jeho podgraf a nie cesta. Podgraf rieÅ¡enia pozostÃ¡va zo zaÄiatoÄnÃ©ho uzla a spolu s kaÅ¾dÃ½m uzlom, ktorÃ½ mÃ¡ nasledovnÃ­ky spojenÃ© s nÃ­m hranou typu A, obsahuje aj podgraf obsahujÃºci vÅ¡etky tieto hrany. Listy grafu rieÅ¡enia musia navyÅ¡e zodpovedaÅ¥ elementÃ¡rnym problÃ©mom, o ktorÃ½ch sa vie ako ich rieÅ¡iÅ¥. Napr. jeden moÅ¾nÃ½ podgraf rieÅ¡enia A/ALEBO grafu z Obr. 2.8 obsahuje vÅ¡etky oznaÄenÃ© uzly (za predpokladu, Å¾e elementÃ¡rny PodproblÃ©m 11,"
36,518,0.369,Bats in the Anthropocene : Conservation of Bats in a Changing World,"12.6.6 Stakeholder Engagement and Citizen Science Collaborative conservation is more likely to be sustainable. In communitybased conservation management, stakeholders from a variety of factions within the community are required to work together to implement effective conservation practices. This often creates unlikely partnerships that bridge normal political, socioeconomic and religious divides. For example, former rebels work with local government officials to monitor bats in southern Mindanao, Philippines, a region known for often violent stand-offs between the Philippine government and Islamic separatists (LM Paguntalan pers. comm., SOS 2012). Uniting stakeholders toward"
297,297,0.344,The R Book,"Here is yet another possibility with year, then month in full, then week of the year, then day of the week abbreviated, all separated by a single blank space: yet.another.date <- c(""2016 January 2 Mon"",""2017 February 6 Fri"",""2018 March 10 Tue"") strptime(yet.another.date,""%Y %B %W %a"") [1] ""2016-01-11"" ""2017-02-10"" ""2018-03-06"" The system is clever in that it knows the date of the Monday in week number 2 of January in 2016, and of the Tuesday in week 10 of 2018 (the information on month is redundant in this case): yet.more.dates <- c(""2016 2 Mon"",""2017 6 Fri"",""2018 10 Tue"") strptime(yet.more.dates,""%Y %W %a"") [1] ""2016-01-11"" ""2017-02-10"" ""2018-03-06"" 2.13.3"
71,1409,0.331,Advancing Culture of Living with Landslides: Volume 1 ISDR-ICL Sendai Partnerships 2015-2025 (Volume 1.0),"Terraces, traditionally sustained by dry stonewalls, occupy about thirty percent of the territory of Liguria. If constantly maintained, they effectively contribute to slow down the natural slope erosion. When no longer managed, terraces may increase geomorphological risk along the slopes and, consequently, at the bottom of the valley (Brandolini et al. 2012). Bad weather such as flash rain worsen the background hazard causing severe damages and devastation across Italy and weight over the economy of a country that has to faces a large variety of disasters. Italy faces emergency but efforts on prevention are not enough to deal with the problem. Emergency often announced with âstate of alertâ, and results in schools closure to try minimize the number of people on the roads during heavy rain. In addition to damage to infrastructure and housing, bad weather also affects agriculture. According to Coldiretti (Italyâs largest agricultural association) heavy rain, overflown rivers and landslides will cost millions of euros to the agricultural sector due to land and crop damage. Farmland overflown with water, vegetables production and plants cultivation located near rivers registered the worst images. The terraced landscape is very common in the Ligurian region, covering about of the 30% of the territory. Agricultural terraces are sustained by dry stonewalls and reduce the slow down the natural slope erosion, but if no regularly maintained, can worst the risk of landslides and âdetritus flowâ. Since 1970 recurring floods affect Genoa where the Bisagno Stream catchment flows across the eastern part of city center. The most recent and tragic was in October 2014 (Faccini et al. 2016). The 5 Terre peculiarity of little towns cling to sheer hills along a narrow, rugged strip of land between the Maritime Alps, the Apennine Mountains and the Ligurian Sea is results into a heavy geo-hydrological risk. The fragile land conditions turn into instability during unusual meteorological conditions that causes heavy flooding. This happened in October 2011 when the river rushed violently down dislocating and destroying several towns, redeï¬ning the natural architecture of the affected the Vara and Magra Valleys near La Spezia (Piangiamore et al. 2015) (Figs. 2 and 3)."
47,46,0.315,"Protocols for Pre-Field Screening of Mutants for Salt Tolerance in Rice, Wheat and Barley","Abstract A simple protocol is presented that tests salt tolerance in rice seedlings. The method is based on a glasshouse hydroponics test in which salt is added to the nutrient hydroponic solution in which the seedlings are grown. A list of equipment is provided including hydroponic hardware and stock solutions. Advice is given on seed storage prior to use and pregermination treatments that promote even germination of test samples. Salt treatments commence after seedling establishment in hydroponics, at the 2â3 leaf stage. Information on responses of standard genotypes (tolerant, intermediate and sensitive) is given to which test seedlings are compared. Visual symptoms of salinity stress include reduced leaf area, whitish appearance of lower leaves, leaf tip death, leaf rolling and seedling death. Scoring is carried out according to the standard evaluation system developed by the International Rice Research Institute (IRRI). Recommended test salt concentrations are given along with a method to recover selected seedlings and examples of use."
339,168,0.308,Etiology and Morphogenesis of Congenital Heart Disease : From Gene Function and Cellular interaction To Morphology,"References 1. Sulik K, et al. Morphogenesis of the murine node and notochordal plate. Dev Dyn. 1994;201 (3):260â78. 2. Nonaka S, et al. Randomization of left-right asymmetry due to loss of nodal cilia generating leftward flow of extraembryonic fluid in mice lacking KIF3B motor protein. Cell. 1998;95 (6):829â37. 3. Nonaka S, et al. Determination of left-right patterning of the mouse embryo by artificial nodal flow. Nature. 2002;418(6893):96â9. 4. Okada Y, et al. Mechanism of nodal flow: a conserved symmetry breaking event in left-right axis determination. Cell. 2005;121(4):633â44."
193,145,0.3,UKrainian Migration To The European Union : Lessons From Migration Studies,"The fact that Ukrainian migrants can transfer the money earned abroad personally without having to bear additional transfer costs is an advantage of temporary, especially circular, migration (Grotte 2012). However, qualitative studies on the remitting behaviour of Ukrainian migrants report negative examples of Ukrainian migrants being robbed on the way back to or upon arrival in Ukraine (Grotte 2012; Kindler 2011). A study conducted in Italy (Weber 2004) indicates that difficulty in re-negotiating social status when back in Ukraine may constitute a constraint on return, and rather a motivation to remain abroad longer than initially intended, going home only for short periods of time. This shows that the âstatus tensionsâ experienced by temporary migrants, as well as by their children, are strongly linked to their statuses in their countries of origin, which can impact not only temporal patterns of mobility but also the well-being of both migrants and their families. This also demonstrates that lowprestige work in the destination country does deprive migrants of their social status, partially challenging the claim put forward, for example, by the dual labour market theory of Piore (1979) that such deprivation should be lower or non-existent in the case of temporary migrants. This is due to the fact that the Ukrainian migrants studied had experienced tensions about their social position in the country of origin. The risk of deskilling or de-qualification is high for temporary Ukrainian migrants (see Triandafyllidou 2011; Caglar et al. 2011; Iglicka et al. 2011). The temporary migration of Ukrainian citizens is often related to temporary jobs that do not require high skills and belong to the so-called secondary sector of the labour market. Consequently, studies in a number of countries have found loss of skills among educated Ukrainian migrants performing low-skilled jobs (Antoniewski and KoryÅ 2002; Shakhno and Pool 2005; Fedyuk 2012). For example, a study based on two national surveys of foreigners in the Czech Republic provides evidence of a significant waste of human capital among Ukrainians (Leontiyeva 2014; see also Chap. 8). A crucial finding of this study is that migrants âwith permanent residence permits turned out to be twice as likely to have skilled jobs compared to those with temporary residence permits and were half as likely to end up on the bottom rungs of the labour marketâ (Leontiyeva 2014:74). This suggests that the temporal dimension of migration, related to legal status on the Czech labour market, intersects with the risk of deskilling among migrants, which tends to be higher for temporary migrants. Irregular stay means higher risks and consequently higher mobility costs between Ukraine and the country of migration (see Chap. 4). However, paradoxically, efforts to gain legal status, even temporary, or to take part in seasonal migrant worker programmes, may lead to negative financial and other consequences for migrants."
390,578,0.299,The Hidden Language of Computer Hardware and SW,"ur lives are full of repetition. We count the days through the natural rhythms of the rotation of the earth, the revolution of the moon around the earth, and of the earth around the sun. Each day is different, but our lives are often structured by standard routines that are similar from day to day. In a sense, repetition is also the essence of computing. Nobody needs a computer to add two numbers together. (Letâs hope not, anyway!) But adding a thousand or a million numbers together? Thatâs a job for a computer. This relationship of computing and repetition was obvious early on. In Ada Lovelaceâs famous 1843 discussion of Charles Babbageâs Analytical Engine, she wrote: Both for brevity and for distinctness, a recurring group is called a cycle. A cycle of operations, then, must be understood to signify any set of operations which is repeated more than once. It is equally a cycle, whether it be repeated twice only, or an indefinite number of times; for it is the fact of a repetition occurring at all that constitutes it such. In many cases of analysis there is a recurring group of one or more cycles; that is, a cycle of a cycle, or a cycle of cycles."
388,945,0.298,The European Blood and Marrow Transplantation Textbook For Nurses : Under The Auspices of Ebmt,"14.5.15 Summary There is no standard instrument guiding posttransplant care that will apply to all patients who have undergone stem cell transplant. Each patient is an individual, and, as such, an individualised plan needs to be generated. Large institutions have published guidelines, such as Fred"
190,157,0.289,O softvÃ©ri od A po Z ; Ãvahy nastupujÃºcich profesionÃ¡lov,"Ak sa dokonalÃ½ plÃ¡n urobiÅ¥ dÃ¡, je hudbou budÃºcnosti. My si budeme musieÅ¥ vystaÄiÅ¥ s âdobrÃ½m plÃ¡nomâ. PokÃºsme sa v nasledujÃºcich riadkoch opÃ­saÅ¥, Äo by v takomto plÃ¡ne malo byÅ¥ zahrnutÃ© a Äomu by sme sa mali radÅ¡ej vyhnÃºÅ¥. PlÃ¡novanie mÃ¡ dopad na vÅ¡etky ostatnÃ© fÃ¡zy procesu tvorby softvÃ©ru. Zle vytvorenÃ½ projektovÃ½ plÃ¡n je preto najÄastejÅ¡Ã­m dÃ´vodom zlyhania procesu tvorby softvÃ©ru. Steve McConnell v [3] opisuje tÃ½chto 9 smrteÄ¾nÃ½ch hriechov plÃ¡novania projektu, ktorÃ½ch sa treba vystrÃ­haÅ¥:"
222,232,0.287,Ecosystem Services For Well-Being in Deltas : integrated Assessment For Policy Analysis,"The number of historical flood events from 1954 to 2014, categorised by extent, are shown in Table 8.1 (BWDB 2015). Extreme, dry and average flood years are defined by the national area flooded. Twenty-five per cent of all flood events occurred during extreme flood years and caused significant damage. Two typical examples of fluvial floods, one for an average flood condition (year 2000) and one for an extreme flood condition (year 1998), are shown in Fig. 8.2. The location of the discharge measurement stations are the entry points of the rivers into Bangladesh from India. The Brahmaputra water level starts rising from the early monsoon (JuneâJuly) and reaches its first peak in the third week of July. It then falls and rises again and, in an average flood year, attains its second peak in the first week of August. The Ganges has a single peak of flood level occurring in the second week of September. For the Upper Meghna, the first flood peak occurs in the second or third week of May, and, in an average flood year, a second peak occurs close to the second peak of the Brahmaputra. The effect of flow from the Upper Meghna on overall flooding is small as its discharge only represents ten per cent of the combined discharges of Ganges and Brahmaputra Rivers (Islam et al. 2010). The different timing of the flood peaks of the major rivers are mainly due to variations in rainfall in the upper catchments and the travel time to reach the discharge measurement points considered. Synchronisation of the peaks across the three rivers is rare, but has occurred: the floods of 1988 and 1998 (see Fig. 8.2) being examples (Islam and Chowdhury 2002). During peak synchronisation, the second peak of the Brahmaputra is delayed or may occur as a third peak coinciding with the single peak of the Ganges. This triggers significant fluvial flooding in Bangladesh."
311,792,0.28,The Physics of the B Factories,"Their choice avoids unphysical singularities which are generated at q 2 = t+ by the outer function in a truncated BGL parameterization. Further, Bourrely, Caprini, and Lellouch (2009) optimize the parameter t0 such that the semileptonic domain is mapped onto a symmetric interval in z. With the choice t0 = (mB + mÏ )( mB â mÏ )2 , the value of |z| < 0.279. Although the BCL parameterization has a simpler functional form, the constraint on the series is more complicated than Eq. (17.1.50) in that it is no longer diagonal in the series index k. We use the BCL parameterization to obtain |Vub | in Section 17.1.4.3. A diï¬erent approach suggested by Flynn and Nieves (2007a,b) uses the OmneÌs parameterization, allowing one to express the form-factor shape in terms of the elastic BÏ scattering phase shift and the value of f+ (q 2 ) at a few subtraction points below the BÏ production threshold. Lattice QCD form-factor calculations State-of-the-art LQCD computations now regularly include the eï¬ects of three light dynamical quarks. Often calculations are done in the isospin limit with two lighter degenerate quarks and one heavier quark with a mass close to the physical strange quark; these are referred to as â2+1â ï¬avor simulations. In practice, limited computational resources prohibit calculations with simulated values of the u- and d-quark as light as those in the real world. LQCD calculations must also be done at ï¬xed, nonzero values of the lattice spacing. Hence one generates data with a sequence of light-quark masses (down to â¼ mstrange /10 for current B â Ï calculations) and a sequence of lattice spacings (down to a â¼ 0.09 fm for current B â Ï calculations) and extrapolates the remainder of the way to the physical masses and zero lattice spacing. Because these limits are interrelated, it is now standard to use model-independent functional forms derived in Chiral Perturbation Theory (ÏPT) for the speciï¬c lattice quark formulation being used (i.e. including discretization corrections) to guide the extrapolation (see, e.g., Aubin and Bernard, 2007, for the case of B â Ï). This procedure leaves a remaining systematic uncertainty in the physical matrix element due"
141,290,0.278,Cyber-Physical Systems of Systems: Foundations â A Conceptual Model and Some Derivations: The AMADEOS Legacy,"In the following the SPS algorithm is briefly described for a local software clock c that is disciplined by an external clock synchronization mechanism. SPS computes the uncertainty at a time t with a coverage, intended as the probability that Ac â¥ Uc(t) â¥ |Îc(t)| â¥ 0 holds. The computed uncertainty is composed by three quantities: (i) the estimated offset, (ii) the output of a predictor function, P and (iii) the output of a safety margin function, SM. The computation of synchronization uncertainty requires a right uncertainty Ur(t) and a left uncertainty Ul(t): consequently, SPS has a right predictor with a right safety margin for right uncertainty, and a left predictor with a left safety margin for left uncertainty. The output of the SPS at t â¥ t0 is constituted by the two values: ~ Ã°t0 ÃÃ Ã¾ Pr Ã°tÃ Ã¾ SMr Ã°t0 Ã Ur Ã°tÃ Â¼ max(0, H"
